age,income,credit_score,transaction_amount,num_transactions,region,account_type,is_fraud
33,52018.725865760716,709,62.372355164730735,6,south,checking,0
55,70590.561180759,654,232.69555103586111,11,north,savings,0
37,84863.95313906338,687,74.37333950630519,8,east,savings,0
48,27720.73268845856,763,1324.9581331634654,5,east,checking,0
33,67512.78981705655,638,83.41137405939466,3,south,savings,0
34,39924.156018974914,610,152.8439183993287,5,south,savings,0
42,46775.4657212544,850,57.150651058541,7,north,premium,0
43,57284.0115055834,583,97.38026058806771,10,south,checking,0
33,61218.58410039449,790,108.28165161418629,7,south,savings,0
18,82094.61622925758,467,79.20622256598169,15,east,savings,0
33,59132.52108001675,770,78.27203191195542,12,east,premium,0
41,56212.086554307425,646,143.2933776395411,9,east,savings,0
35,46491.934491625696,696,369.5923090016435,8,east,checking,0
39,40229.135483467646,632,88.3230521084127,4,south,savings,0
37,38820.22237564637,623,44.87309198715321,11,south,savings,0
20,68991.1642717469,684,4.97637821477388,9,north,savings,0
43,43180.135056374595,700,476.0290200911806,8,west,checking,0
29,80540.44861105346,602,37.36100247164694,10,south,checking,0
29,65753.47050260179,718,76.03770599105557,7,north,checking,0
40,75459.56810609673,694,69.38968278079824,10,east,savings,0
27,53597.53224267594,760,62.99151039016592,7,west,premium,0
37,78807.36939528899,597,265.13818669767653,7,south,premium,1
26,51018.52045131523,574,30.483188897802247,7,east,savings,0
33,56185.7678625895,764,64.11597966546191,10,north,premium,0
31,34369.561422758416,528,302.41349167569246,9,south,checking,0
30,35503.43023392362,780,25.551324028229473,7,east,savings,0
26,46611.59764277594,703,207.75969057789305,9,south,savings,1
34,62570.36550877748,656,80.54228830367643,9,south,savings,0
36,61721.99368192431,714,12.37837980497545,7,south,premium,0
44,67575.40719721092,764,89.80573425111338,16,south,savings,0
29,60085.40636345544,693,439.22997681740225,7,west,premium,0
35,31709.23698586054,775,44.91979069287051,7,north,savings,0
57,48048.841374822,762,118.52902885434838,13,south,checking,0
38,49399.27932255846,744,333.95041817106363,8,west,savings,0
39,63081.05469110659,582,34.8810262692044,5,west,premium,0
39,68275.36095120298,546,295.2965106277294,8,south,checking,0
18,45065.9322363588,515,368.95763647668275,9,north,premium,0
32,33757.23865534166,584,151.6375537394566,4,west,checking,0
18,62915.83680458719,755,103.09787791391626,9,east,checking,0
43,76649.57540925934,773,52.171614023426,7,south,checking,0
52,76849.70348291929,666,63.6501176644764,8,west,savings,0
29,50974.05486947448,698,90.88897854771743,7,north,savings,0
52,53168.05036954009,553,100.59397404402117,5,south,savings,0
23,46877.58749486172,685,210.38025844916538,10,west,premium,0
23,74748.60368270775,598,81.66014905152466,11,west,savings,0
40,53715.388718504175,676,222.0457716268779,12,east,checking,0
26,66599.70072983732,724,67.24702646155228,8,south,checking,0
30,56556.6810211748,555,352.0894976171309,6,east,checking,0
45,69868.06475240382,682,55.39543215423233,6,west,premium,0
25,81085.40935118818,773,92.77416968779997,8,south,checking,0
32,53639.28121983503,647,240.74329239874993,13,east,checking,0
33,59925.30274640131,573,283.8796300856406,10,west,savings,0
38,55637.81660843181,740,7.092798804081714,10,north,savings,0
42,53584.43759818046,725,229.11599594794498,8,east,checking,0
33,45666.385100238585,638,572.4730616483212,14,west,checking,0
23,37315.43683398458,604,165.34334084078375,5,north,savings,0
45,18557.306216596393,681,104.89599992092802,8,north,checking,0
63,56060.27480716053,850,5.875018699822231,9,east,savings,0
43,53828.84648921606,640,104.46212165709157,11,west,savings,0
40,67890.05573112414,627,325.32572583141456,12,south,checking,0
31,51471.16250805801,690,25.486485028286374,6,north,checking,0
32,29571.326334274272,648,437.0831713347985,5,east,premium,0
21,66036.13846428593,718,76.86785227088215,9,west,savings,0
41,91310.21645241877,544,122.39855543416026,5,north,checking,0
33,49723.36765342315,771,55.876301433742256,9,west,savings,0
47,67944.45522996913,699,6.546177518786052,8,south,checking,0
24,72622.7626253074,805,213.61549425801823,5,west,checking,0
48,39794.40468966054,709,14.188338253120635,13,east,checking,0
31,41688.93301620316,704,154.92890843404612,5,south,premium,0
28,63963.28661392028,629,10.549954491275503,8,north,savings,0
30,45443.54689682904,593,326.43360549877696,14,south,savings,0
28,34942.8094030976,701,176.70499199914315,0,south,premium,0
18,60259.16868626634,671,81.40533639408211,7,south,checking,0
41,89917.49267049207,637,192.20511433380713,7,west,premium,0
42,32198.207327554173,726,77.12306275190848,10,west,premium,0
