age,income,credit_score,transaction_amount,num_transactions,region,account_type,is_fraud
38,75990.33154879004,625,256.17361206080295,8,west,savings,0
32,68869.50524369153,668,616.2714506806801,9,east,premium,0
40,55894.45554880261,616,45.09905691815763,7,south,savings,0
49,45295.94833441639,655,524.6081746685097,8,north,savings,0
31,65473.34970420385,528,84.64289224696273,5,south,premium,0
31,60902.28078132625,697,64.0459417918071,7,east,savings,0
49,68427.89830041598,680,7.749192782025735,10,north,savings,0
41,64527.57702522954,614,8.131250511759822,8,south,premium,0
29,70743.29072979002,732,176.65380629365558,8,west,premium,0
39,46971.47182659148,755,91.85374193157286,7,east,savings,0
29,74760.91098451489,551,38.5286352054227,6,west,checking,0
29,57963.994070386,618,142.77614787861577,4,west,checking,1
36,86128.91308937898,618,43.72502647149221,8,west,checking,0
18,44662.18272865648,604,129.2816588131097,9,south,savings,0
18,81039.45704747873,746,66.75773001284736,10,south,savings,0
28,57968.66175193972,664,260.2095521819492,13,east,savings,0
23,45228.72994578327,658,257.80102293849257,11,east,premium,1
37,47741.71248918518,519,97.32660251126687,8,west,premium,0
24,50194.7903770852,730,64.80658184697249,11,north,premium,0
19,61362.48919602875,580,67.54422073094736,1,south,premium,0
48,62842.5323205325,684,245.76400265476786,14,north,checking,0
31,46394.49994092131,702,59.66460924444773,10,north,savings,0
34,54634.68111608526,788,35.179856341205266,9,north,checking,0
19,87134.05537917795,575,13.273599259302223,10,east,checking,0
28,80913.14755151067,438,94.29873934662642,6,north,checking,0
35,61544.85504511048,694,98.70526296972696,12,east,savings,0
22,55570.05217252301,824,275.74156396689796,6,east,premium,0
37,56800.46990077392,779,37.50760409831806,11,north,savings,0
27,64202.769590956246,696,71.94538633960099,7,north,savings,0
31,39658.111522023915,640,247.85630495493783,7,east,checking,0
27,51139.35193864982,744,260.27024882267347,7,east,checking,0
52,29971.238891836158,602,72.82512214075646,3,west,savings,0
33,60988.34683907919,718,92.18479119546278,5,west,checking,0
23,64707.939095541115,720,54.207018862595525,7,west,savings,0
42,47752.20306550939,764,404.46615380968564,14,south,savings,0
21,78609.80144935049,850,18.94400739121004,9,west,savings,0
36,36613.51505496488,711,407.1466657112938,4,west,checking,0
18,33034.376796852695,639,172.7385800850001,12,west,premium,0
20,58366.77727839958,677,113.755979554997,9,north,checking,0
35,70706.47453918232,538,4.9806407258442436,5,west,premium,0
41,80258.91537186803,624,96.82398977207983,5,south,savings,0
35,48116.7360569659,647,78.57348544360046,7,east,savings,0
32,71180.21250146943,638,26.370811117990613,13,north,checking,0
30,54422.372957489395,692,160.24575583729563,10,south,savings,0
19,52410.59050088771,614,531.8515106644558,10,north,checking,0
26,68254.89906230009,769,123.89513055528353,5,north,checking,0
29,64784.84317620129,680,188.16011647872529,7,north,premium,0
44,31354.11764523626,679,10.635884900447564,5,west,savings,0
37,77148.10524588844,653,81.10692341145227,11,north,savings,0
18,75701.37031221177,692,18.555573719499325,7,south,checking,0
37,45616.55947735706,746,142.32047524624394,9,north,savings,0
30,60937.05300156114,610,418.2642053856874,7,south,checking,0
27,62410.45279424108,627,162.60780050745396,8,north,savings,0
40,58910.10648735861,655,11.986902770118474,6,north,savings,0
44,46745.422692318694,572,65.69813765974543,2,south,savings,0
43,44925.64948092923,614,119.99744406304494,6,east,savings,0
25,54616.688935128324,641,77.42793395683012,6,north,checking,0
30,72590.93528889047,749,269.043790740946,12,north,savings,0
37,63154.002318916486,701,252.84340205732707,5,north,savings,0
43,49440.78501870841,695,141.94717784552975,5,west,savings,0
29,66575.48065972517,748,70.13090703229173,6,south,savings,0
32,12271.86069054887,669,44.223400645534404,6,south,savings,0
22,72231.48550558156,711,16.78633950530415,9,north,savings,0
22,28904.293318328506,671,65.75195167701123,12,south,checking,0
42,49563.38587895302,701,79.95365981785496,10,north,checking,0
47,38204.95158060784,633,168.96980775374743,5,north,checking,0
33,35579.77786418641,484,161.0117960484377,10,south,checking,0
44,72412.4018106778,669,10.90304681698967,12,south,savings,0
37,47984.48198032163,793,75.44333000740608,4,north,checking,0
27,60197.55822596073,754,30.093396815668825,8,east,checking,0
37,54296.19131681224,757,25.58492539258516,8,west,savings,0
49,62155.612408346824,778,263.4317612579454,7,south,checking,0
